EC,SPECIE,TYPE,Charge
H138C76O17P2,CL 66:3:0,M-2H,-2
H136C76O17P2,CL 66:4:0,M-2H,-2
H134C76O17P2,CL 66:5:0,M-2H,-2
H132C76O17P2,CL 66:6:0,M-2H,-2
H130C76O17P2,CL 66:7:0,M-2H,-2
H128C76O17P2,CL 66:8:0,M-2H,-2
H142C77O17P2,CL 68:3:0,M-2H,-2
H140C77O17P2,CL 68:4:0,M-2H,-2
H138C77O17P2,CL 68:5:0,M-2H,-2
H136C77O17P2,CL 68:6:0,M-2H,-2
H134C77O17P2,CL 68:7:0,M-2H,-2
H132C77O17P2,CL 68:8:0,M-2H,-2
H132C79O17P2,CL 70:10:0,M-2H,-2
H146C79O17P2,CL 70:3:0,M-2H,-2
H144C79O17P2,CL 70:4:0,M-2H,-2
H142C79O17P2,CL 70:5:0,M-2H,-2
H140C79O17P2,CL 70:6:0,M-2H,-2
H138C79O17P2,CL 70:7:0,M-2H,-2
H136C79O17P2,CL 70:8:0,M-2H,-2
H134C79O17P2,CL 70:9:0,M-2H,-2
H136C81O17P2,CL 72:10:0,M-2H,-2
H134C81O17P2,CL 72:11:0,M-2H,-2
H132C81O17P2,CL 72:12:0,M-2H,-2
H130C81O17P2,CL 72:13:0,M-2H,-2
H128C81O17P2,CL 72:14:0,M-2H,-2
H146C81O17P2,CL 72:5:0,M-2H,-2
H144C81O17P2,CL 72:6:0,M-2H,-2
H142C81O17P2,CL 72:7:0,M-2H,-2
H140C81O17P2,CL 72:8:0,M-2H,-2
H138C81O17P2,CL 72:9:0,M-2H,-2
H140C83O17P2,CL 74:10:0,M-2H,-2
H148C83O17P2,CL 74:6:0,M-2H,-2
H146C83O17P2,CL 74:7:0,M-2H,-2
H144C83O17P2,CL 74:8:0,M-2H,-2
H142C83O17P2,CL 74:9:0,M-2H,-2
H61C32O7,DG 28:0:0,M+HCO2,-1
H63C33O7,DG 29:0:0,M+HCO2,-1
H61C33O7,DG 29:1:0,M+HCO2,-1
H65C34O7,DG 30:0:0,M+HCO2,-1
H63C34O7,DG 30:1:0,M+HCO2,-1
H67C35O7,DG 31:0:0,M+HCO2,-1
H65C35O7,DG 31:1:0,M+HCO2,-1
H69C36O7,DG 32:0:0,M+HCO2,-1
H67C36O7,DG 32:1:0,M+HCO2,-1
H65C36O7,DG 32:1:0,M+HCO2,-1
H71C37O7,DG 33:0:0,M+HCO2,-1
H69C37O7,DG 33:1:0,M+HCO2,-1
H73C38O7,DG 34:0:0,M+HCO2,-1
H71C38O7,DG 34:1:0,M+HCO2,-1
H69C38O7,DG 34:2:0,M+HCO2,-1
H67C38O7,DG 34:3:0,M+HCO2,-1
H65C38O7,DG 34:4:0,M+HCO2,-1
H75C39O7,DG 35:0:0,M+HCO2,-1
H73C39O7,DG 35:1:0,M+HCO2,-1
H71C39O7,DG 35:2:0,M+HCO2,-1
H77C40O7,DG 36:0:0,M+HCO2,-1
H75C40O7,DG 36:1:0,M+HCO2,-1
H73C40O7,DG 36:2:0,M+HCO2,-1
H71C40O7,DG 36:3:0,M+HCO2,-1
H69C40O7,DG 36:4:0,M+HCO2,-1
H79C42O7,DG 38:1:0,M+HCO2,-1
H77C42O7,DG 38:2:0,M+HCO2,-1
H75C42O7,DG 38:3:0,M+HCO2,-1
H73C42O7,DG 38:4:0,M+HCO2,-1
H71C42O7,DG 38:5:0,M+HCO2,-1
H73C43O7,DG 39:5:0,M+HCO2,-1
H75C44O7,DG 40:5:0,M+HCO2,-1
H71C44O7,DG 40:7:0,M+HCO2,-1
H47C23N1O9P1,LPC 14:0:0,M+HCO2,-1
H45C23N1O9P1,LPC 14:1:0,M+HCO2,-1
H47C24N1O9P1,LPC 15:1:0,M+HCO2,-1
H51C25N1O9P1,LPC 16:0:0,M+HCO2,-1
H49C25N1O9P1,LPC 16:1:0,M+HCO2,-1
H47C25N1O9P1,LPC 16:2:0,M+HCO2,-1
H53C26N1O9P1,LPC 17:0:0,M+HCO2,-1
H51C26N1O9P1,LPC 17:1:0,M+HCO2,-1
H49C26N1O9P1,LPC 17:2:0,M+HCO2,-1
H47C26N1O9P1,LPC 17:3:0,M+HCO2,-1
H55C27N1O9P1,LPC 18:0:0,M+HCO2,-1
H53C27N1O9P1,LPC 18:1:0,M+HCO2,-1
H51C27N1O9P1,LPC 18:2:0,M+HCO2,-1
H49C27N1O9P1,LPC 18:3:0,M+HCO2,-1
